自己算的跟公司算的差很多
餐飲小店面（員工數3人）
正職 月薪23010
休息30分
依法定工時8小時，加班2小時以下該加班時數乘上1.33，2小時以上該加班時數乘上1.66，遲到早退不倒扣薪資列為不計薪資
月休4天（固定休週一，遇到訂位延至下一日）
25號，老闆口頭通知該日計算加班費用

	                      上班	                 下班	        工時
2018-7-1	下午04:30:00	上午12:00:00	7.5
2018-7-2			0
2018-7-3	下午04:30:00	上午01:00:00	8.5
2018-7-4	下午04:30:00	上午01:00:00	8.5
2018-7-5	下午04:30:00	上午01:30:00	9
2018-7-6	下午04:30:00	上午01:00:00	8.5
2018-7-7	下午04:30:00	上午01:30:00	9
2018-7-8	下午04:30:00	上午02:00:00	9.5
2018-7-9			0
2018-7-10	下午04:30:00	上午03:00:00	10.5
2018-7-11	下午04:00:00	上午01:30:00	9.5
2018-7-12	下午04:00:00	上午03:00:00	11
2018-7-13	下午04:00:00	上午01:30:00	9.5
2018-7-14	下午04:00:00	上午01:30:00	9.5
2018-7-15	下午04:00:00	上午02:30:00	10.5
2018-7-16			0
2018-7-17	下午04:00:00	上午02:30:00	10.5
2018-7-18	下午04:00:00	上午02:00:00	10
2018-7-19	下午04:00:00	上午02:00:00	10
2018-7-20	下午04:00:00	上午02:00:00	10
2018-7-21	下午04:00:00	上午02:00:00	10
2018-7-22	下午04:00:00	上午01:00:00	9
2018-7-23	下午04:00:00	上午01:00:00	9
2018-7-24	下午04:00:00	上午02:30:00	10.5
2018-7-25	下午04:00:00	上午03:30:00	11.5
2018-7-26			0
2018-7-27	下午04:00:00	上午02:00:00	10
2018-7-28	下午04:00:00	上午03:30:00	11.5
2018-7-29	下午04:00:00	上午03:00:00	11
2018-7-30	下午05:00:00	上午12:00:00	7
2018-7-31			0
